title,author,publisher,release_year,pages,description,img,promoted,genre_id
"Skrytobójcy Cienia: Zmierzch Imperium","Shadow Assassin","Intrygujące Wydawnictwo",2013,300,"Shadow Assassin to historia tajemniczych skrytobójców,którzy stają w obliczu upadku potężnego imperium. Bohaterowie muszą pokonać nie tylko fizyczne przeciwności,ale także własne demony,by odwrócić losy świata. Czy zdołają przetrwać zmierzch imperium?","Skrytobojcy_Cienia_Zmierzch_Imperium.png",false,7
"Dżungla Intryg: Tajemnica Zaginionej Wyprawy","Jungle Explorer","Egzotyczne Przygody",2003,270,"Jungle Explorer opowiada o tajemniczej wyprawie w głąb dzikiej dżungli,gdzie bohaterowie muszą stawić czoła nie tylko dzikim zwierzętom,ale także zdradzie i intrygom. Czy uda im się odnaleźć zaginioną wyprawę i odkryć jej sekrety?","Dzungla_Intryg_Tajemnica_Zaginionej_Wyprawy.png",false,7
"Odkrywcy Nowego Świata: Wyprawa na Nieznane Kontyn","New World Explorers","Historyczne Ekspedycje",2003,250,"New World Explorers przenosi czytelników w czasy wielkich odkryć geograficznych,opowiadając o śmiałych podróżach odkrywców,którzy wyruszają na nieznane kontynenty. Książka pełna jest fascynujących opowieści o pokonywaniu oceanów i eksploracji nieznanego.","Odkrywcy_Nowego_Swiata_Wyprawa_na_Nieznane_Kontynenty.png",false,7
"Wzgórza Tajemnic: Sztuka Przełamywania Granic","Hilltop Mysteries","Tajemnicze Rozwikłania",2013,230,"Hilltop Mysteries to seria opowieści o grupie młodych detektywów,którzy rozwiązują tajemnice ukryte w malowniczych wzgórzach. Każda książka to nowe wyzwanie,nowe zagadki i niezapomniane przygody.","Wzgorza_Tajemnic_Sztuka_Przelamywania_Granic.png",false,7
"Żaglowce Ostatniej Nadziei: Wyprawa w Arktykę","Arctic Adventurers","Morskie Ekspedycje",2003,290,"Arctic Adventurers opowiada o odważnych żeglarzach,którzy podejmują wyzwanie żeglugi w lodowatych wodach Arktyki. Książka pełna jest niebezpieczeństw,niesamowitych widoków i przygód,które sprawią,że czytelnik poczuje szaleństwo arktycznej wyprawy.","Zaglowce_Ostatniej_Nadziei_Wyprawa_w_Arktyke.png",false,7
"Kod Omega: Zaginione Archiwum","Mystery Master","Intrygujące Wydawnictwo",2013,320,"Mystery Master prezentuje zagadkowy thriller o tajemniczym archiwum,które zawiera informacje zdolne wstrząsnąć porządkami świata. Bohaterowie muszą rozszyfrować tajemniczy kod,zanim wpadnie on w niepowołane ręce.","Kod_Omega_Zaginione_Archiwum.png",false,8
"Zamach: Gra o Władzę","Political Intrigue","Polityczne Intrygi",2003,310,"Political Intrigue przedstawia niebezpieczną grę o władzę,gdzie bohaterowie muszą odkryć spisek przeciwko rządowi. Akcja toczy się w świecie politycznych intryg,szantażu i zdrady.","Zamach_Gra_o_Wladze.png",false,8
"Bezsenność: Kłamstwa Nocy","Sleepless Lies","Psychologiczne Napięcie",2003,280,"Sleepless Lies to psychologiczny thriller o tajemniczych bezsennościach,które popychają bohaterów na krawędź zdrowego rozsądku. Czy to wynik spisku czy tylko wytwór umysłu? Czytelnicy muszą przetrzeć oczy,by odkryć prawdę.","Bezsennosc_Klamstwa_Nocy.png",false,8
"Sieć Kłamstw: Operacja Infiltracja","Infiltration Network","Agencja Szpiegowska",2013,330,"Infiltration Network przedstawia świat agencji szpiegowskiej,gdzie bohaterowie muszą rozpracować złożoną sieć kłamstw i intryg,zanim stanie się za późno. Książka pełna jest akcji,podsłuchów i nieoczekiwanych zwrotów akcji.","Siec_Klamstw_Operacja_Infiltracja.png",false,8
"Zakazane Eksperymenty: Labirynt Zła","Forbidden Experiments","Naukowe Intrygi",2003,300,"Forbidden Experiments to thriller naukowy o tajemniczych eksperymentach,które prowadzą do stworzenia labiryntu zła. Bohaterowie muszą przeniknąć zakazaną strefę,by ujawnić prawdziwe cele projektu i powstrzymać niebezpieczeństwo przed uwolnieniem się.","Zakazane_Eksperymenty_Labirynt_Zla.png",false,8
"Ostatnia Runda: Gra o Życie","Final Showdown","Psychologiczna Walka",2003,290,"Final Showdown opowiada o psychologicznej walce,w której bohaterowie muszą stawić czoła swoim najgłębszym lękom. Gra o życie staje się coraz bardziej niebezpieczna,a każda decyzja może być decydująca.","Ostatnia_Runda_Gra_o_Zycie.png",false,8
"Cena Zemsty: Pakt Zabójcy","Vengeance Price","Zabójcze Intrygi",2013,310,"Vengeance Price to opowieść o mrocznym paku zabójcy,który musi wypełnić niebezpieczne zadanie zemsty. Czy bohater zdoła utrzymać równowagę między moralnością a pragnieniem zemsty? Thriller pełen emocji i niebezpieczeństwa.","Cena_Zemsty_Pakt_Zabojcy.png",false,8
"Za Zamkniętymi Drzwiami: Tajemnica Sąsiada","Behind Closed Doors","Domowe Napięcia",2003,280,"Behind Closed Doors przedstawia tajemnicę ukrytą za zamkniętymi drzwiami,gdzie bohaterowie muszą odkryć,co naprawdę dzieje się w ich spokojnej dzielnicy. Thriller pełen intryg,zwrotów akcji i nieoczekiwanych zdarzeń.","Za_Zamknietymi_Drzwiemi_Tajemnica_Sasiada.png",false,8
"Krwawy Koniec: Ostatnia Misja","Bloody End","Militarne Intrygi",2003,320,"Bloody End to historia ostatniej misji,gdzie bohaterowie muszą zmierzyć się z brutalną rzeczywistością wojny. Czy zdołają przetrwać i zrealizować cel misji,czy też stawią czoła krwawemu końcowi? Thriller pełen napięcia i dramatu.","Krwawy_Koniec_Ostatnia_Misja.png",false,8
"Zakazane Geny: Tajemnica Laboratorium","Forbidden Genes","Genetyczne Intrygi",2013,290,"Forbidden Genes opowiada o zakazanych eksperymentach genetycznych,które prowadzą do tajemniczego laboratorium. Bohaterowie muszą odkryć prawdziwe cele projektu genetycznego,zanim niekontrolowane mutacje staną się globalnym zagrożeniem.","Zakazane_Geny_Tajemnica_Laboratorium.png",false,8
"Mroczne Wizje: Widmo Sanatorium","Nightmare Author","Niesamowite Horrory",2003,300,"Niesamowite Horrory prezentują Mroczne Wizje,gdzie bohaterowie przekraczają progi opuszczonego sanatorium,tylko po to,by stać się ofiarami złowrogich mocy. Czytelnicy odczują dreszcz grozy i tajemnicy tej opowieści.","Mroczne_Wizje_Widmo_Sanatorium.png",false,9
"Przeklęta Dziedziczka: Dom Umarłych","Cursed Heiress","Zaklęte Mroczne Opowieści",2003,310,"Zaklęte Mroczne Opowieści przedstawiają Przeklętą Dziedziczkę,która dziedziczy dom nawiedzony przez duchy przeszłości. Czy bohaterka zdoła rozwikłać rodzinne tajemnice i uwolnić się od klątwy Domu Umarłych?","Przekleta_Dziedziczka_Dom_Umarlych.png",false,9
"Zmierzch Widm: Opowieść o Nawiedzonym Mieście","Twilight Phantoms","Opowieści Grozy",2013,290,"Opowieści Grozy prezentują Zmierzch Widm,gdzie bohaterowie odkrywają mroczne sekrety nawiedzonego miasta. Czy przetrwają noc w miejscu,gdzie czasami lepiej nie zaglądać? Dreszcz emocji i niepewności gwarantowany.","Zmierzch_Widm_Opowiesc_o_Nawiedzonym_Miescie.png",false,9
"Bestia w Cieniu: Tajemnica Lasu","Beast in the Shadows","Mroczne Tajemnice",2003,320,"Mroczne Tajemnice przedstawiają Bestię w Cieniu,gdzie bohaterowie napotykają tajemniczą bestię,której obecność sprawia,że las staje się miejscem koszmaru. Czy potrafią przetrwać i odkryć tajemnicę Bestii w Cieniu?","Bestia_w_Cieniu_Tajemnica_Lasu.png",false,9
"Rytuał Krwi: Księga Czarnego Zaklęcia","Blood Ritual","Zakazane Rytuały",2003,300,"Zakazane Rytuały opowiadają o Rytuale Krwi,w którym bohaterowie muszą stawić czoła przerażającym zaklęciom i demonicznej obecności. Czy uda im się przerwać mroczny rytuał zanim stanie się za późno?","Rytual_Krwi_Ksiega_Czarnego_Zaklecia.png",false,9
"Ostatni Strach: Nawiedzony Dom","Final Fear","Nawiedzone Historie",2013,280,"Nawiedzone Historie przedstawiają Ostatni Strach,gdzie bohaterowie wchodzą do nawiedzonego domu,nieświadomi,że każdy krok zbliża ich do przerażającej prawdy. Czy zdołają przeżyć noc w Nawiedzonym Domu?","Ostatni_Strach_Nawiedzony_Dom.png",false,9
"Zagubieni w Ciemności: Labirynt Grozy","Lost in Darkness","Mroczne Przypadki",2003,310,"Mroczne Przypadki przedstawiają Zagubionych w Ciemności,gdzie bohaterowie eksplorują tajemniczy labirynt,gdzie każdy zakręt może prowadzić do śmierci. Czy zdołają znaleźć wyjście z Labiryntu Grozy?","Zagubieni_w_Ciemnosci_Labirynt_Grozy.png",true,9
"Zakazane Widmo: Nawiedzony Cmentarz","Forbidden Ghost","Mroczne Spotkania",2003,290,"Mroczne Spotkania przedstawiają Zakazane Widmo,gdzie bohaterowie odkrywają nawiedzony cmentarz,gdzie duchy z przeszłości wracają,by żądać zemsty. Czy przetrwają spotkanie z Zakazanym Widmem?","Zakazane_Widmo_Nawiedzony_Cmentarz.png",false,9
"Bezsenność: Widma Nocy","Insomnia","Niezwykłe Koszmary",2003,320,"Niezwykłe Koszmary przedstawiają Bezsenność,gdzie bohaterowie doświadczają niezwykłych koszmarów,które wydają się przenikać ze snu do rzeczywistości. Czy to tylko iluzja,czy może coś znacznie bardziej przerażającego?","Bezsennosc_Widma_Nocy.png",false,9
"Za Zasłoną Ciemności: Opowieść o Strachu","Behind the Curtain","Opowieści Horroru",2003,300,"Opowieści Horroru przedstawiają Za Zasłoną Ciemności,gdzie bohaterowie odkrywają przerażającą opowieść o strachu ukrytą za zasłoną niewidzialnego zła. Czy zdołają rzucić światło na mroczne tajemnice?","Za_Zaslona_Ciemnosci_Opowiesc_o_Strachu.png",false,9
"Pod Niebem Afryki: Życie Karen Blixen","Eva Biography","Wielkie Opowieści Biograficzne",2003,350,"Wielkie Opowieści Biograficzne przedstawiają fascynującą biografię Karen Blixen,autorki \"Afrykańskiego Skauta\". Poznaj niezwykłe życie tej silnej kobiety,podróżującej po dzikiej krainie Afryki,konfrontującej się z życiowymi wyzwaniami i tworzącej niezapomniane dzieła literatury.","Pod_Niebem_Afryki_Zycie_Karen_Blixen.png",false,10
"Genialny Umysł: Życie Alberta Einsteina","Discovering Genius","Wielcy Naukowcy",2003,380,"Wielcy Naukowcy prezentują fascynującą biografię Alberta Einsteina - geniusza nauki,laureata Nagrody Nobla i twórcy teorii względności. Odkryj nie tylko jego naukowe dokonania,ale także burzliwe życie prywatne,które wpłynęło na kształtowanie się jednego z największych umysłów w historii.","Genialny_Umysl_Zycie_Alberta_Einsteina.png",false,10
"Czerwony Spartakus: Życie i Działalność Róży Lukse","Rebel Rose","Historie Niezłomnych",2003,320,"Historie Niezłomnych przedstawiają życie Róży Luksemburg - polskiej marksistki,teoretyczki rewolucji i aktywistki społecznej. Odkryj jej niezłomną walkę o prawa ludzi pracy,zaangażowanie w rewolucję oraz tragiczne zakończenie jej życiowej misji.","Czerwony_Spartakus_Zycie_Rozy_Luksemburg.png",false,10
"Kobiecy Orzeł: Życie Amelia Earhart","Aviation Pioneer","Wielcy Pionierzy Lotnictwa",2003,340,"Wielcy Pionierzy Lotnictwa przedstawiają życie Amelii Earhart - jednej z pierwszych kobiet-pilotów i pionierki lotnictwa. Odkryj jej nieustraszoną determinację,zdolności lotnicze i tajemnicze zniknięcie podczas próby okrążenia ziemi. Czytaj o jej odważnej przygodzie i dziedzictwie,które trwa do dziś.","Kobiecy_Orzel_Zycie_Amelii_Earhart.png",false,10
"Pierwsza Dama: Życie Eleanor Roosevelt","Leading Lady","Wielkie Kobiety Historii",2003,360, "Wielkie Kobiety Historii prezentują życie Eleanor Roosevelt - jednej z najbardziej wpływowych Pierwszych Dam w historii Stanów Zjednoczonych. Poznaj jej zaangażowanie w prawa obywatelskie działalność dyplomatyczną i wpływ na kształtowanie się współczesnej roli Pierwszych Dam.","Pierwsza_Dama_Zycie_Eleanor_Roosevelt.png",false,10
"Wieża Talentów: Życie Steve a Jobsa","Tech Visionary","Wizjonerzy Technologii",2003,330,"Wizjonerzy Technologii przedstawiają życie Steve a Jobsa - współzałożyciela Apple,wizjonera technologii i kreatywnego geniusza. Odkryj jego niekonwencjonalne podejście do biznesu,rewolucyjne wynalazki i dziedzictwo,które kształtuje świat technologii.","Wieza_Talentow_Zycie_Stevea_Jobsa.png",false,10
"Zawsze Wierni: Życie Jana Pawła II","Holy Journey","Święci Na Ziemi",2003,350,"Święci Na Ziemi przedstawiają życie Jana Pawła II - jednego z najważniejszych papieży w historii Kościoła Katolickiego. Poznaj jego duchową podróż,misję pojednawczą i wpływ na kształtowanie się współczesnej katolickiej wiary.","Zawsze_Wierni_Zycie_Jana_Pawla_II.png",false,10
"Nieukrojony: Życie Malali Yousafzai","Courageous Voice","Inspirujące Historie Młodych Bohaterów",2003,340,"Inspirujące Historie Młodych Bohaterów przedstawiają życie Malali Yousafzai - pakistańskiej obrończyni praw kobiet i edukacji,laureatki Pokojowej Nagrody Nobla. Odkryj jej odwagę w stawianiu czoła przeciwnościom i jej determinację w walce o prawa dziewcząt do nauki.","Nieukrojony_Zycie_Malali_Yousafzai.png",false,10
"Melodia Duszy: Życie Ludwiga van Beethovena","Symphony Maestro","Wielcy Kompozytorzy",2003,330,"Wielcy Kompozytorzy przedstawiają życie Ludwiga van Beethovena - jednego z najwybitniejszych kompozytorów w historii muzyki klasycznej. Odkryj jego twórczość muzyczną,walkę z głuchotą i wpływ na rozwój symfonii i sonat.","Melodia_Duszy_Zycie_Ludwiga_van_Beethovena.png",false,10
"Wzrok Przyszłości: Życie Hellen Keller","Unconquered Spirit","Niezwyciężone Dusze",2003,340,"Niezwyciężone Dusze przedstawiają życie Hellen Keller - amerykańskiej autorki,aktywistki społecznej i pierwszej głuchej i niemej osoby,która uzyskała tytuł naukowy. Poznaj jej niezłomną determinację,zdolności literackie i walkę o prawa osób niepełnosprawnych.","Wzrok_Przyszlosci_Zycie_Hellen_Keller.png",false,10
